source,target,edge
Optic disc structure,pit of superior aspect of optic disc of right eye,finding site of
Optic disc structure,Atrophy of optic disc,finding site of
Optic disc structure,Toxoplasma neuroretinitis,finding site of
Optic disc structure,Optic disc edema due to hypotony,finding site of
Optic disc structure,Prepapillary vascular loop,finding site of
Optic disc structure,Optic disc small,finding site of
Optic disc structure,Optic disc dysplasia,finding site of
Optic disc structure,Micropapilla,finding site of
Optic disc structure,Bartonella henselae neuroretinitis,finding site of
Optic disc structure,Diabetic optic papillopathy,finding site of
Optic disc structure,Papillophlebitis,finding site of
Optic disc structure,Hypoplasia of optic disc,finding site of
Optic disc structure,Calcified optic disc drusen,finding site of
Optic disc structure,Entire optic disc,has entire anatomy structure
Optic disc structure,Optic disc cup finding,finding site of
Optic disc structure,Optic disc disorder,finding site of
Optic disc structure,Idiopathic optic disc swelling,finding site of
Optic disc structure,Optic disc normal,finding site of
Optic disc structure,Optic disc not seen,finding site of
Optic disc structure,Optic disc abnormal,finding site of
Optic disc structure,Pallor of optic disc,finding site of
Optic disc structure,Atrophy of sector of optic disc,finding site of
Optic disc structure,Optic cup filled,finding site of
Optic disc structure,Optic disc finding,finding site of
Optic disc structure,Optic disc - sector notching,finding site of
Optic disc structure,Optic disc - myopic changes,finding site of
Optic disc structure,Clear disc margin,finding site of
Optic disc structure,Optic disc hyaloid vascular remnants,finding site of
Optic disc structure,Optic disc glial tissue remnants,finding site of
Optic disc structure,Large optic disc and cup,finding site of
Optic disc structure,Optic disc venous collaterals,finding site of
Optic disc structure,Optic disc spontaneous venous pulsation,finding site of
Optic disc structure,Optic disc - venous pulsation only on pressure,finding site of
Optic disc structure,Optic disc tissue remnants,finding site of
Optic disc structure,Optic disc myopic crescent,finding site of
Optic disc structure,Optic disc myopic traction fold,finding site of
Optic disc structure,Pathological cupping of optic disc,finding site of
Optic disc structure,Optic disc - venous pulsation absent,finding site of
Optic disc structure,Optic disc neovascularization,finding site of
Optic disc structure,Optic disc hemorrhage,finding site of
Optic disc structure,Optic cup retained,finding site of
Optic disc structure,Temporal pallor of optic disc,finding site of
Optic disc structure,Optic disc drusen - buried,finding site of
Optic disc structure,Optic disc drusen - elevated,finding site of
Optic disc structure,Blurred disc margin,finding site of
Optic disc structure,Morning glory disc,finding site of
Optic disc structure,Melanocytoma of optic nerve head,finding site of
Optic disc structure,Tilted optic disc,finding site of
Optic disc structure,Sectorial hypoplasia of optic disc,finding site of
Optic disc structure,Partial hypoplasia of optic disc,finding site of
Optic disc structure,Septo-optic dysplasia sequence,finding site of
Optic disc structure,pit of optic disc,finding site of
Optic disc structure,Myelinated nerve fibers of optic disc,finding site of
Optic disc structure,Diffuse unilateral subacute neuroretinitis,finding site of
Optic disc structure,Central serous retinopathy with pit of optic disc,finding site of
Optic disc structure,Intraocular optic nerve glioma,finding site of
Optic disc structure,Glaucomatous atrophy of optic disc,finding site of
Optic disc,Congenital anomaly of optic disc,location of
Optic disc structure,Congenital anomaly of optic disc,finding site of
Optic disc structure,Optic disc edema associated with retinal disorder,finding site of
Optic disc structure,Congenital coloboma of optic disc,finding site of
Optic disc structure,Neuroretinitis,finding site of
Optic disc structure,Drusen of optic disc,finding site of
Optic disc structure,Neuroretinitis following infectious disease,finding site of
Optic disc structure,Acquired coloboma of optic disc,finding site of
Optic disc structure,Acquired prepapillary vascular loop,finding site of
Optic disc structure,Congenital prepapillary vascular loop,finding site of
Optic disc structure,Optic disc edema,finding site of
Optic disc structure,Optic papillitis,finding site of
Optic disc structure,Optic disc swelling,finding site of
Optic disc structure,Recurrent idiopathic neuroretinitis,finding site of
Optic disc structure,Congenital peripapillary staphyloma,finding site of
Optic disc structure,Situs inversus of optic disc,finding site of
Optic disc structure,Flat optic disc,finding site of
Optic disc structure,Absence of margin of optic disc,finding site of
Optic disc structure,Congenital pit of optic disc,finding site of
Optic disc structure,Acquired pit of optic disc,finding site of
Optic disc structure,Leber idiopathic stellate neuroretinitis,finding site of
Optic disc structure,Infectious neuroretinitis,finding site of
Optic disc structure,Pallid swelling of optic disc,finding site of
Optic disc structure,Pigmentation of optic disc,finding site of
Optic disc structure,Megalopapilla,finding site of
Optic disc structure,Optic disc swelling co-occurrent with uveitis,finding site of
Optic disc structure,Cupping of optic disc,finding site of
Optic disc structure,Traumatic injury of optic disk,finding site of
Optic disc structure,Large physiologic cupping of optic disc,finding site of
Optic disc structure,Diffuse thinning of neuroretinal rim,finding site of
Foveal avascular zone,Entire foveal avascular zone,has entire anatomy structure
Structure of retinal vein,Retinal veins beaded,finding site of
Structure of retinal vein,normal variant of retinal venous circulation,finding site of
Structure of retinal vein,occlusion of retinal veins of both eyes,finding site of
Structure of retinal vein,occlusion of retinal veins of left eye,finding site of
Structure of retinal vein,occlusion of retinal veins of right eye,finding site of
Structure of retinal vein,occlusion of twig retinal vein,finding site of
Structure of retinal vein,Thrombosis of retinal vein,finding site of
Structure of retinal vein,Retinal venous tortuosity,finding site of
Structure of central vein of the retina,Entire central vein of the retina,has entire anatomy structure
Structure of retinal vein,Entire retinal vein,has entire anatomy structure
Structure of retinal vein,Retinal vein appearance - finding,finding site of
Structure of central vein of the retina,Central retinal vein occlusion - non-ischemic,finding site of
Structure of central vein of the retina,Central retinal vein occlusion - ischemic,finding site of
Structure of retinal vein,Distension of vein beyond arteriovenous crossing,finding site of
Structure of retinal vein,Retinal veins dilated,finding site of
Structure of retinal vein,Retinal vein finding,finding site of
Structure of retinal vein,Retinal venous loops,finding site of
Structure of retinal vein,Retinal veins sheathed,finding site of
Structure of retinal vein,Retinociliary vein,finding site of
Structure of retinal vein,Thrombophlebitis of retinal vein,finding site of
Structure of central vein of the retina,Central retinal vein occlusion - juvenile,finding site of
Structure of central vein of the retina,Neovascularization of eye due to juvenile central retinal vein occlusion,finding site of
Structure of central vein of the retina,Central retinal vein occlusion with macular edema,finding site of
Structure of central vein of the retina,Central retinal vein occlusion with neovascularization,finding site of
Structure of central vein of the retina,Macular edema due to juvenile central retinal vein occlusion,finding site of
Structure of central vein of the retina,Neovascularization of eye due to hemispheric retinal vein occlusion,finding site of
Structure of central vein of the retina,Hemispheric retinal vein occlusion,finding site of
Structure of central vein of the retina,Macular edema due to hemispheric retinal vein occlusion,finding site of
Structure of retinal vein,Retinal phlebitis,finding site of
Structure of retinal vein,Eales' disease,finding site of
Structure of retinal vein,Incipient occlusion of retinal vein,finding site of
Structure of retinal vein,Partial occlusion of retinal vein,finding site of
Central retinal vein,Superior ophthalmic vein,drains into
Structure of central vein of the retina,Central retinal vein occlusion,finding site of
Structure of retinal vein,Retinal venous engorgement,finding site of
